iter	Passed	Remaining
0	3	3337
1	6	3405
2	10	3424
3	14	3500
4	17	3494
5	21	3485
6	24	3447
7	27	3407
8	51	5719
9	64	6423
10	73	6639
11	80	6627
12	86	6533
13	90	6408
14	95	6270
15	99	6120
16	103	5963
17	107	5838
18	110	5702
19	113	5578
20	117	5457
21	119	5333
22	122	5220
23	125	5108
24	128	5020
25	131	4936
26	134	4863
27	138	4797
28	141	4738
29	144	4679
30	147	4623
31	151	4569
32	154	4516
33	156	4458
34	159	4402
35	162	4351
36	165	4302
37	168	4254
38	170	4210
39	173	4175
40	177	4140
41	179	4104
42	182	4069
43	185	4034
44	188	4003
45	191	3971
46	194	3940
47	197	3914
48	200	3890
49	203	3865
50	206	3841
51	209	3817
52	212	3795
53	215	3774
54	218	3749
55	221	3725
56	223	3703
57	226	3681
58	229	3661
59	232	3639
60	235	3619
61	237	3599
62	240	3583
63	281	4117
64	297	4283
65	308	4372
66	317	4418
67	323	4433
68	328	4432
69	333	4426
70	337	4416
71	341	4397
72	344	4378
73	347	4354
74	351	4329
75	353	4302
76	356	4274
77	359	4249
78	362	4224
79	365	4199
80	368	4176
81	371	4155
82	374	4132
83	376	4108
84	379	4085
85	382	4062
86	385	4040
87	387	4019
88	390	3998
89	393	3976
90	396	3955
91	398	3936
92	401	3917
93	404	3899
94	407	3884
95	410	3865
96	413	3850
97	416	3834
98	419	3817
99	422	3801
100	425	3783
101	427	3766
102	430	3750
103	433	3734
104	436	3718
105	439	3704
106	442	3690
107	444	3675
108	447	3660
109	450	3645
110	453	3629
111	455	3614
112	458	3600
113	461	3586
114	464	3574
115	467	3561
116	470	3549
117	473	3536
118	475	3523
119	478	3509
120	481	3496
121	484	3484
122	486	3471
123	489	3459
124	492	3447
125	495	3435
126	498	3425
127	501	3414
128	504	3403
129	506	3392
130	509	3381
131	512	3370
132	515	3359
133	518	3348
134	521	3338
135	523	3328
136	526	3318
137	529	3309
138	532	3300
139	535	3290
140	538	3282
141	541	3272
142	544	3263
143	547	3254
144	550	3245
145	553	3234
146	555	3226
147	558	3216
148	561	3206
149	564	3198
150	567	3189
151	570	3180
152	572	3171
153	575	3162
154	578	3153
155	581	3145
156	584	3136
157	587	3128
158	589	3120
159	592	3112
160	595	3103
161	598	3096
162	601	3089
163	604	3083
164	607	3075
165	610	3067
166	613	3062
167	616	3054
168	619	3046
169	622	3038
170	625	3031
171	628	3025
172	631	3018
173	634	3011
174	637	3005
175	640	2998
176	666	3097
177	677	3127
178	684	3141
179	691	3149
180	696	3151
181	701	3151
182	705	3148
183	708	3143
184	712	3138
185	715	3131
186	718	3123
187	721	3115
188	724	3108
189	727	3100
190	730	3092
191	732	3084
